ID	LEMMA	UPOS	GENERE	WRITTEN REPRESENTATION	ID LEMMA VARIANT	TRADUZIONI	URI ITALIANO
10979	situ	NOUN	m	["situ"]	[]	["sito"]	["http://liita.it/data/id/lemma/1038999","http://liita.it/data/id/lemma/1039000"]
10980	siminari	VERB		["siminari"]	[]	["seminare"]	["http://liita.it/data/id/lemma/1036827"]
10981	upinioni	NOUN	f	["pinioni","upinioni","opinioni"]	[]	["opinione"]	["http://liita.it/data/id/lemma/1015924"]
10984	rapaci	NOUN	m	["rapaci"]	[]	["rapace"]	["http://liita.it/data/id/lemma/1026731"]
10985	urmu	NOUN	m	["urmu"]	[]	["olmo"]	["http://liita.it/data/id/lemma/1058313"]
10986	usu	NOUN	m	["usu"]	[]	["uso"]	["http://liita.it/data/id/lemma/1050282"]
10987	neu	NOUN	m	["neu"]	[]	["neon","neo"]	["http://liita.it/data/id/lemma/1094843","http://liita.it/data/id/lemma/1013859"]
10988	fàrisi làdiu	VERB		["fàrisi làdiu"]	[]	["imbruttire"]	["http://liita.it/data/id/lemma/998450"]
10989	lamintàrisi	VERB		["lamintàrisi"]	[]	["gemere","lamentarsi"]	["http://liita.it/data/id/lemma/1004869","http://liita.it/data/id/lemma/995012"]
10990	sintenza	NOUN	f	["sintenza","sintenzia"]	[]	["aforismo"]	["http://liita.it/data/id/lemma/961879"]
10991	castiglianu	NOUN	m	["castiglianu","castigghianu"]	[]	["castigliano"]	["http://liita.it/data/id/lemma/974666"]
10992	castiglianu	NOUN	m	["castiglianu","castigghianu"]	[]	["lingua spagnola","lingua castigliana"]	[]
10995	accuffulàrisi	VERB		["accuffulàrisi"]	[]	["rannicchiarsi","accosciarsi"]	["http://liita.it/data/id/lemma/1026702","http://liita.it/data/id/lemma/960704"]
10996	sbauttìrisi	VERB		["sbauttìrisi"]	[]	["sbigottirsi"]	["http://liita.it/data/id/lemma/1033834"]
10997	vappu	NOUN	m	["guappu","vappu"]	[]	["smargiasso","fanfarone","sbruffone"]	["http://liita.it/data/id/lemma/1039228","http://liita.it/data/id/lemma/991059","http://liita.it/data/id/lemma/1034063"]
